order_id,order_date,product,category,region,sales_channel,quantity,unit_price,revenue,customer_id
ORD-100844,2024-01-04,Mechanical Keyboard,Electronics,Europe,Direct Sales,4,83.02,332.08,CUST-3482
ORD-100845,2024-01-04,Stapler,Office Supplies,North America,Online,5,8.96,44.8,CUST-1583
ORD-100772,2024-01-04,Foam Roller,Fitness,Latin America,Online,4,19.64,78.56,CUST-3835
ORD-106075,2024-01-04,Standing Desk,Furniture,Europe,Online,3,328.68,986.04,CUST-1691
ORD-106154,2024-01-05,Foam Roller,Fitness,Asia Pacific,Online,5,18.22,91.1,CUST-1826
ORD-102400,2024-01-05,Resistance Bands,Fitness,Asia Pacific,Retail Partner,4,13.55,54.2,CUST-1571
ORD-100464,2024-01-05,Foam Roller,Fitness,Asia Pacific,Online,5,17.51,87.55,CUST-2560
ORD-100574,2024-01-05,Foam Roller,Fitness,Asia Pacific,Direct Sales,3,19.95,59.85,CUST-2999
ORD-105718,2024-01-05,Foam Roller,Fitness,North America,Online,5,19.63,98.15,CUST-1800
ORD-100103,2024-01-05,Fountain Pen,Office Supplies,Asia Pacific,Direct Sales,3,19.65,58.95,CUST-3172
ORD-105843,2024-01-05,Sticky Notes Pack,Office Supplies,Europe,Direct Sales,1,4.57,4.57,CUST-1177
ORD-102201,2024-01-05,Mechanical Keyboard,Electronics,Latin America,Retail Partner,4,78.54,314.16,CUST-2015
ORD-104360,2024-01-05,Sticky Notes Pack,Office Supplies,Asia Pacific,Online,2,4.55,9.1,CUST-3440
ORD-100706,2024-01-05,Stapler,Office Supplies,North America,Direct Sales,4,8.29,33.16,CUST-1226
ORD-103398,2024-01-05,Whiteboard,Office Supplies,Europe,Online,2,40.23,80.46,CUST-1200
ORD-104688,2024-01-05,Notebook Set,Office Supplies,North America,Direct Sales,5,8.76,43.8,CUST-1069
ORD-101189,2024-01-05,Whiteboard,Office Supplies,North America,Online,3,36.71,110.13,CUST-3442
ORD-104884,2024-01-05,Webcam HD,Electronics,North America,Online,5,43.87,219.35,CUST-1051
ORD-106877,2024-01-05,Stapler,Office Supplies,North America,Online,4,9.07,36.28,CUST-3533
ORD-106925,2024-01-05,Whiteboard,Office Supplies,Europe,Online,2,38.26,76.52,CUST-3792
ORD-107988,2024-01-05,Notebook Set,Office Supplies,North America,Online,5,8.98,44.9,CUST-3892
ORD-107584,2024-01-06,Water Bottle,Fitness,Asia Pacific,Retail Partner,2,11.3,22.6,CUST-2564
ORD-101278,2024-01-06,Foam Roller,Fitness,North America,Direct Sales,4,18.97,75.88,CUST-1848
ORD-101174,2024-01-06,Foam Roller,Fitness,North America,Online,5,18.0,90.0,CUST-3670
ORD-101806,2024-01-06,USB-C Hub,Electronics,North America,Direct Sales,4,31.44,125.76,CUST-2657
ORD-107726,2024-01-06,Ergonomic Chair,Furniture,North America,Online,4,203.35,813.4,CUST-3701
ORD-102442,2024-01-06,Notebook Set,Office Supplies,North America,Online,4,8.63,34.52,CUST-2380
ORD-107968,2024-01-06,Ergonomic Chair,Furniture,Europe,Online,2,220.25,440.5,CUST-2635
ORD-103724,2024-01-06,Water Bottle,Fitness,North America,Direct Sales,3,12.17,36.51,CUST-3425
ORD-104130,2024-01-06,Standing Desk,Furniture,Europe,Online,5,302.59,1512.95,CUST-1270
ORD-101531,2024-01-06,Sticky Notes Pack,Office Supplies,Asia Pacific,Online,5,5.06,25.3,CUST-2592
ORD-104767,2024-01-06,Monitor Arm,Furniture,North America,Direct Sales,3,56.05,168.15,CUST-3677
ORD-106753,2024-01-07,Ergonomic Chair,Furniture,North America,Online,2,231.27,462.54,CUST-1107
ORD-106590,2024-01-07,Whiteboard,Office Supplies,North America,Online,5,39.54,197.7,CUST-2166
ORD-100302,2024-01-07,Mechanical Keyboard,Electronics,Europe,Direct Sales,2,70.81,141.62,CUST-2050
ORD-105602,2024-01-07,Webcam HD,Electronics,North America,Online,2,47.22,94.44,CUST-2616
ORD-104787,2024-01-07,Foam Roller,Fitness,Latin America,Online,4,19.03,76.12,CUST-3076
ORD-101069,2024-01-07,Stapler,Office Supplies,North America,Retail Partner,2,8.07,16.14,CUST-3453
ORD-101762,2024-01-07,Stapler,Office Supplies,Latin America,Retail Partner,5,8.08,40.4,CUST-1437
ORD-103821,2024-01-07,Bookshelf,Furniture,Europe,Online,1,88.33,88.33,CUST-3280
ORD-103798,2024-01-07,Whiteboard,Office Supplies,Europe,Online,4,35.29,141.16,CUST-1380
ORD-107516,2024-01-08,Resistance Bands,Fitness,North America,Online,4,14.41,57.64,CUST-1796
ORD-105879,2024-01-08,Stapler,Office Supplies,Latin America,Online,2,8.8,17.6,CUST-1365
ORD-100789,2024-01-08,Stapler,Office Supplies,Asia Pacific,Online,4,8.84,35.36,CUST-3841
ORD-104392,2024-01-08,Stapler,Office Supplies,Europe,Online,5,9.0,45.0,CUST-1340
ORD-105437,2024-01-08,Ergonomic Chair,Furniture,Asia Pacific,Direct Sales,3,200.35,601.05,CUST-1089
ORD-106746,2024-01-08,Bookshelf,Furniture,Latin America,Online,4,81.47,325.88,CUST-3130
ORD-105915,2024-01-08,Webcam HD,Electronics,Europe,Online,4,43.4,173.6,CUST-1511
ORD-103903,2024-01-08,Notebook Set,Office Supplies,North America,Online,4,8.61,34.44,CUST-1914
ORD-105077,2024-01-08,Sticky Notes Pack,Office Supplies,North America,Online,2,5.19,10.38,CUST-3632
ORD-106150,2024-01-08,Notebook Set,Office Supplies,North America,Online,4,9.95,39.8,CUST-3834
ORD-100800,2024-01-08,Bookshelf,Furniture,Latin America,Online,3,84.73,254.19,CUST-3520
ORD-106641,2024-01-08,Mechanical Keyboard,Electronics,North America,Online,1,72.17,72.17,CUST-1048
ORD-101681,2024-01-08,Foam Roller,Fitness,Europe,Online,3,20.23,60.69,CUST-2817
ORD-104229,2024-01-09,Webcam HD,Electronics,North America,Online,5,46.55,232.75,CUST-2938
ORD-107991,2024-01-09,Mechanical Keyboard,Electronics,North America,Online,5,81.98,409.9,CUST-1680
ORD-101120,2024-01-09,USB-C Hub,Electronics,Asia Pacific,Online,5,30.45,152.25,CUST-3684
ORD-104045,2024-01-09,Bookshelf,Furniture,Europe,Direct Sales,4,84.24,336.96,CUST-2773
ORD-100409,2024-01-09,Resistance Bands,Fitness,Asia Pacific,Online,1,13.79,13.79,CUST-1724
ORD-106435,2024-01-09,Foam Roller,Fitness,Europe,Online,5,19.33,96.65,CUST-2546
ORD-107580,2024-01-09,Fountain Pen,Office Supplies,North America,Online,4,23.23,92.92,CUST-3566
ORD-100888,2024-01-10,Webcam HD,Electronics,Asia Pacific,Retail Partner,3,43.2,129.6,CUST-3480
ORD-103135,2024-01-10,Whiteboard,Office Supplies,North America,Online,3,41.68,125.04,CUST-3742
ORD-103102,2024-01-10,Mechanical Keyboard,Electronics,North America,Online,2,70.7,141.4,CUST-2735
ORD-107226,2024-01-10,Mechanical Keyboard,Electronics,North America,Online,5,75.7,378.5,CUST-2208
ORD-106526,2024-01-10,Sticky Notes Pack,Office Supplies,Europe,Retail Partner,3,5.12,15.36,CUST-1821
ORD-101037,2024-01-10,Stapler,Office Supplies,North America,Online,1,9.05,9.05,CUST-3325
ORD-107488,2024-01-10,Mechanical Keyboard,Electronics,Europe,Retail Partner,3,72.29,216.87,CUST-2508
ORD-106470,2024-01-10,Foam Roller,Fitness,North America,Online,1,18.57,18.57,CUST-3104
ORD-107601,2024-01-10,Webcam HD,Electronics,Europe,Direct Sales,3,42.72,128.16,CUST-2855
ORD-100838,2024-01-10,Standing Desk,Furniture,Asia Pacific,Online,4,340.04,1360.16,CUST-3771
ORD-104930,2024-01-10,Desk Lamp,Furniture,Latin America,Retail Partner,4,21.75,87.0,CUST-1338
ORD-107720,2024-01-10,Mechanical Keyboard,Electronics,Asia Pacific,Online,1,69.37,69.37,CUST-1427
ORD-107598,2024-01-10,Bookshelf,Furniture,Europe,Online,5,83.14,415.7,CUST-3185
ORD-105141,2024-01-10,Stapler,Office Supplies,Latin America,Direct Sales,3,9.35,28.05,CUST-1384
ORD-107063,2024-01-11,Bookshelf,Furniture,Latin America,Online,5,79.8,399.0,CUST-3951
ORD-101623,2024-01-11,Whiteboard,Office Supplies,Latin America,Online,1,34.95,34.95,CUST-3145
ORD-106280,2024-01-11,Webcam HD,Electronics,Europe,Online,4,44.74,178.96,CUST-3796
ORD-105067,2024-01-11,Resistance Bands,Fitness,North America,Online,1,15.51,15.51,CUST-2698
ORD-106141,2024-01-11,Resistance Bands,Fitness,North America,Direct Sales,2,15.08,30.16,CUST-2380
ORD-107134,2024-01-11,Notebook Set,Office Supplies,Europe,Direct Sales,1,10.22,10.22,CUST-1855
ORD-102974,2024-01-11,Desk Lamp,Furniture,Asia Pacific,Online,4,25.21,100.84,CUST-3958
ORD-103504,2024-01-11,Whiteboard,Office Supplies,Asia Pacific,Retail Partner,3,36.65,109.95,CUST-1315
ORD-105744,2024-01-11,Bookshelf,Furniture,North America,Retail Partner,4,77.86,311.44,CUST-2140
ORD-104103,2024-01-11,Mechanical Keyboard,Electronics,North America,Online,4,83.63,334.52,CUST-1307
ORD-104504,2024-01-11,Ergonomic Chair,Furniture,Europe,Online,5,208.89,1044.45,CUST-1717
ORD-104116,2024-01-12,Standing Desk,Furniture,North America,Online,1,340.04,340.04,CUST-1701
ORD-104526,2024-01-12,Water Bottle,Fitness,Asia Pacific,Online,4,12.75,51.0,CUST-3679
ORD-100477,2024-01-12,Mechanical Keyboard,Electronics,North America,Online,2,75.46,150.92,CUST-2184
ORD-101365,2024-01-12,Mechanical Keyboard,Electronics,Latin America,Online,1,79.11,79.11,CUST-1154
ORD-103857,2024-01-12,Stapler,Office Supplies,Asia Pacific,Online,1,7.92,7.92,CUST-1335
ORD-100414,2024-01-12,Bookshelf,Furniture,Europe,Retail Partner,3,93.63,280.89,CUST-1783
ORD-103897,2024-01-12,Whiteboard,Office Supplies,Europe,Retail Partner,2,38.97,77.94,CUST-2144
ORD-101593,2024-01-12,Standing Desk,Furniture,Europe,Direct Sales,2,350.95,701.9,CUST-3723
ORD-101651,2024-01-12,Stapler,Office Supplies,North America,Online,5,8.01,40.05,CUST-1120
ORD-107757,2024-01-13,Notebook Set,Office Supplies,Asia Pacific,Online,4,8.75,35.0,CUST-2536
ORD-101528,2024-01-13,Resistance Bands,Fitness,Asia Pacific,Retail Partner,1,15.63,15.63,CUST-3603
ORD-105745,2024-01-13,Ergonomic Chair,Furniture,North America,Online,1,239.43,239.43,CUST-3432
ORD-104562,2024-01-13,Mechanical Keyboard,Electronics,North America,Online,4,82.88,331.52,CUST-1985
ORD-106917,2024-01-13,Webcam HD,Electronics,Europe,Online,4,39.89,159.56,CUST-3737
ORD-102089,2024-01-13,Webcam HD,Electronics,North America,Retail Partner,2,41.04,82.08,CUST-3447
ORD-107609,2024-01-13,Foam Roller,Fitness,Latin America,Online,2,19.37,38.74,CUST-3955
ORD-106892,2024-01-13,Stapler,Office Supplies,North America,Retail Partner,3,9.14,27.42,CUST-1345
ORD-100232,2024-01-13,Webcam HD,Electronics,North America,Online,5,42.37,211.85,CUST-1510
ORD-105620,2024-01-14,Water Bottle,Fitness,Asia Pacific,Online,5,12.55,62.75,CUST-1199
ORD-105410,2024-01-14,Notebook Set,Office Supplies,Asia Pacific,Retail Partner,5,10.01,50.05,CUST-3025
ORD-103803,2024-01-14,Resistance Bands,Fitness,Asia Pacific,Online,2,13.12,26.24,CUST-2350
ORD-104075,2024-01-14,Stapler,Office Supplies,Asia Pacific,Direct Sales,3,8.73,26.19,CUST-1870
ORD-100368,2024-01-14,Standing Desk,Furniture,Europe,Online,3,364.68,1094.04,CUST-3355
ORD-100299,2024-01-14,Monitor Arm,Furniture,North America,Direct Sales,2,55.42,110.84,CUST-2820
ORD-103804,2024-01-14,Foam Roller,Fitness,North America,Retail Partner,3,20.08,60.24,CUST-3571
ORD-105896,2024-01-14,Standing Desk,Furniture,North America,Online,2,352.05,704.1,CUST-1645
ORD-103787,2024-01-14,Standing Desk,Furniture,North America,Direct Sales,5,304.27,1521.35,CUST-2182
ORD-101166,2024-01-14,Whiteboard,Office Supplies,North America,Online,2,35.99,71.98,CUST-2969
ORD-102170,2024-01-14,Bookshelf,Furniture,Europe,Direct Sales,4,91.72,366.88,CUST-1514
ORD-100539,2024-01-14,Mechanical Keyboard,Electronics,North America,Online,5,80.67,403.35,CUST-2790
ORD-105034,2024-01-14,Sticky Notes Pack,Office Supplies,North America,Retail Partner,2,4.62,9.24,CUST-1935
ORD-104061,2024-01-14,Foam Roller,Fitness,North America,Retail Partner,4,17.63,70.52,CUST-3679
ORD-100271,2024-01-15,Desk Lamp,Furniture,North America,Retail Partner,2,24.68,49.36,CUST-1977
ORD-106218,2024-01-15,Whiteboard,Office Supplies,Europe,Online,4,38.79,155.16,CUST-1569
ORD-103118,2024-01-15,Stapler,Office Supplies,Asia Pacific,Retail Partner,1,7.94,7.94,CUST-2412
ORD-101743,2024-01-15,Standing Desk,Furniture,Europe,Retail Partner,5,324.2,1621.0,CUST-1893
ORD-101782,2024-01-15,Mechanical Keyboard,Electronics,Latin America,Online,3,76.54,229.62,CUST-1719
ORD-103946,2024-01-15,Webcam HD,Electronics,North America,Online,5,38.79,193.95,CUST-2061
ORD-102137,2024-01-15,Water Bottle,Fitness,Europe,Retail Partner,3,13.51,40.53,CUST-1336
ORD-106706,2024-01-15,Adjustable Dumbbells,Fitness,North America,Direct Sales,3,127.41,382.23,CUST-1465
ORD-107585,2024-01-15,Stapler,Office Supplies,North America,Online,3,9.28,27.84,CUST-2442
ORD-103308,2024-01-15,Resistance Bands,Fitness,Asia Pacific,Online,1,13.07,13.07,CUST-1424
ORD-102260,2024-01-15,Stapler,Office Supplies,Europe,Direct Sales,4,7.94,31.76,CUST-2639
ORD-100169,2024-01-15,Mechanical Keyboard,Electronics,Latin America,Online,1,74.29,74.29,CUST-3085
ORD-104699,2024-01-15,Standing Desk,Furniture,North America,Retail Partner,1,327.87,327.87,CUST-2884
ORD-100820,2024-01-16,Ergonomic Chair,Furniture,Europe,Online,2,211.04,422.08,CUST-1850
ORD-100428,2024-01-16,Water Bottle,Fitness,North America,Retail Partner,2,12.76,25.52,CUST-3434
ORD-102711,2024-01-16,Mechanical Keyboard,Electronics,Europe,Online,5,70.26,351.3,CUST-3835
ORD-104259,2024-01-16,Mechanical Keyboard,Electronics,North America,Retail Partner,5,82.56,412.8,CUST-3737
ORD-105773,2024-01-16,Standing Desk,Furniture,Latin America,Online,1,316.71,316.71,CUST-2836
ORD-107397,2024-01-16,Whiteboard,Office Supplies,North America,Online,2,39.66,79.32,CUST-2040
ORD-105113,2024-01-16,Ergonomic Chair,Furniture,North America,Online,2,230.78,461.56,CUST-1001
ORD-103441,2024-01-16,Stapler,Office Supplies,Asia Pacific,Online,5,8.1,40.5,CUST-2480
ORD-101398,2024-01-16,Ergonomic Chair,Furniture,Asia Pacific,Direct Sales,4,219.9,879.6,CUST-3985
ORD-100453,2024-01-16,Notebook Set,Office Supplies,Asia Pacific,Online,3,9.19,27.57,CUST-3545
ORD-104912,2024-01-16,Sticky Notes Pack,Office Supplies,North America,Retail Partner,1,4.38,4.38,CUST-2753
ORD-106615,2024-01-16,Foam Roller,Fitness,Asia Pacific,Retail Partner,4,17.31,69.24,CUST-2793
ORD-105404,2024-01-16,Standing Desk,Furniture,North America,Online,2,299.31,598.62,CUST-3133
ORD-101179,2024-01-16,Ergonomic Chair,Furniture,Asia Pacific,Direct Sales,1,230.79,230.79,CUST-1818
ORD-102635,2024-01-17,Desk Lamp,Furniture,Europe,Retail Partner,1,21.65,21.65,CUST-3467
ORD-104644,2024-01-17,Desk Lamp,Furniture,Europe,Online,5,22.33,111.65,CUST-2529
ORD-106383,2024-01-17,Fountain Pen,Office Supplies,Asia Pacific,Online,4,20.48,81.92,CUST-3432
ORD-105161,2024-01-17,Bookshelf,Furniture,North America,Online,2,76.93,153.86,CUST-1956
ORD-106368,2024-01-17,Standing Desk,Furniture,Europe,Online,4,367.25,1469.0,CUST-2006
ORD-106665,2024-01-17,Sticky Notes Pack,Office Supplies,Europe,Online,1,4.76,4.76,CUST-2005
ORD-102468,2024-01-17,Desk Lamp,Furniture,Europe,Online,5,21.67,108.35,CUST-3579
ORD-102222,2024-01-17,Stapler,Office Supplies,Europe,Retail Partner,1,8.03,8.03,CUST-3507
ORD-103996,2024-01-17,Ergonomic Chair,Furniture,North America,Online,4,211.59,846.36,CUST-2528
ORD-107064,2024-01-17,Webcam HD,Electronics,Asia Pacific,Retail Partner,4,42.46,169.84,CUST-3574
ORD-102328,2024-01-17,Bookshelf,Furniture,North America,Online,3,90.92,272.76,CUST-1084
ORD-106106,2024-01-17,Ergonomic Chair,Furniture,Europe,Retail Partner,4,213.47,853.88,CUST-1064
ORD-105528,2024-01-17,Standing Desk,Furniture,North America,Online,1,312.18,312.18,CUST-1352
ORD-106599,2024-01-17,Webcam HD,Electronics,Asia Pacific,Online,2,45.17,90.34,CUST-2337
ORD-102409,2024-01-17,Desk Lamp,Furniture,North America,Online,4,24.48,97.92,CUST-1017
ORD-107484,2024-01-18,Stapler,Office Supplies,Latin America,Online,5,9.14,45.7,CUST-2230
ORD-104714,2024-01-18,Standing Desk,Furniture,Asia Pacific,Online,1,308.5,308.5,CUST-1398
ORD-106787,2024-01-18,Water Bottle,Fitness,North America,Online,1,11.99,11.99,CUST-2062
ORD-103485,2024-01-18,Fountain Pen,Office Supplies,North America,Online,3,23.53,70.59,CUST-3542
ORD-107723,2024-01-18,Foam Roller,Fitness,Latin America,Online,5,19.07,95.35,CUST-1204
ORD-105629,2024-01-18,Foam Roller,Fitness,North America,Direct Sales,2,17.86,35.72,CUST-3000
ORD-107010,2024-01-19,Foam Roller,Fitness,North America,Online,1,20.49,20.49,CUST-1263
ORD-101589,2024-01-19,Mechanical Keyboard,Electronics,Europe,Direct Sales,3,83.0,249.0,CUST-1565
ORD-101943,2024-01-19,Stapler,Office Supplies,Europe,Online,2,7.99,15.98,CUST-2277
ORD-100829,2024-01-19,Bookshelf,Furniture,Asia Pacific,Retail Partner,4,87.72,350.88,CUST-2239
ORD-107283,2024-01-19,Water Bottle,Fitness,Asia Pacific,Online,3,13.22,39.66,CUST-1388
ORD-106906,2024-01-19,Sticky Notes Pack,Office Supplies,Latin America,Retail Partner,1,4.88,4.88,CUST-3427
ORD-101299,2024-01-19,Notebook Set,Office Supplies,Latin America,Direct Sales,2,9.53,19.06,CUST-3326
ORD-104534,2024-01-19,Whiteboard,Office Supplies,Europe,Online,3,40.29,120.87,CUST-2547
ORD-105428,2024-01-19,Notebook Set,Office Supplies,Asia Pacific,Retail Partner,4,10.33,41.32,CUST-3346
ORD-101492,2024-01-19,Water Bottle,Fitness,Asia Pacific,Online,5,12.63,63.15,CUST-2410
ORD-107822,2024-01-19,Mechanical Keyboard,Electronics,North America,Online,4,80.63,322.52,CUST-3039
ORD-104530,2024-01-19,Ergonomic Chair,Furniture,Asia Pacific,Direct Sales,1,230.51,230.51,CUST-2895
ORD-101868,2024-01-19,Resistance Bands,Fitness,Europe,Online,4,12.81,51.24,CUST-1664
ORD-103536,2024-01-19,Bookshelf,Furniture,North America,Online,4,93.81,375.24,CUST-1854
ORD-104159,2024-01-20,Wireless Mouse,Electronics,North America,Online,2,19.24,38.48,CUST-3497
ORD-106572,2024-01-20,USB-C Hub,Electronics,North America,Online,5,31.17,155.85,CUST-3666
ORD-105209,2024-01-20,Webcam HD,Electronics,Europe,Retail Partner,3,39.05,117.15,CUST-2889
ORD-100137,2024-01-20,Whiteboard,Office Supplies,Europe,Online,2,38.83,77.66,CUST-1777
ORD-103457,2024-01-20,Foam Roller,Fitness,North America,Retail Partner,5,19.03,95.15,CUST-3349
ORD-102950,2024-01-20,Stapler,Office Supplies,North America,Direct Sales,4,9.43,37.72,CUST-2884
ORD-106916,2024-01-20,Whiteboard,Office Supplies,North America,Online,4,38.75,155.0,CUST-1292
ORD-102262,2024-01-20,Foam Roller,Fitness,North America,Online,5,19.93,99.65,CUST-3682
ORD-102558,2024-01-20,Notebook Set,Office Supplies,Asia Pacific,Online,3,10.14,30.42,CUST-1392
ORD-101535,2024-01-20,Desk Lamp,Furniture,Latin America,Online,3,24.13,72.39,CUST-3156
ORD-105119,2024-01-20,Bookshelf,Furniture,North America,Online,3,82.73,248.19,CUST-2458
ORD-107647,2024-01-20,Water Bottle,Fitness,North America,Retail Partner,5,12.83,64.15,CUST-1567
ORD-104641,2024-01-21,Standing Desk,Furniture,Asia Pacific,Online,2,302.61,605.22,CUST-2251
ORD-106701,2024-01-21,Whiteboard,Office Supplies,North America,Online,2,37.2,74.4,CUST-3573
ORD-103681,2024-01-21,Ergonomic Chair,Furniture,Asia Pacific,Online,5,201.1,1005.5,CUST-3564
ORD-100786,2024-01-21,USB-C Hub,Electronics,Asia Pacific,Direct Sales,3,29.84,89.52,CUST-2574
ORD-104035,2024-01-21,Bookshelf,Furniture,Europe,Online,2,76.58,153.16,CUST-2668
ORD-105395,2024-01-21,Noise Cancelling Headphones,Electronics,North America,Online,5,146.22,731.1,CUST-2122
ORD-100384,2024-01-21,USB-C Hub,Electronics,Asia Pacific,Online,5,31.91,159.55,CUST-2492
ORD-104243,2024-01-21,Mechanical Keyboard,Electronics,North America,Online,3,79.06,237.18,CUST-1125
ORD-106760,2024-01-21,Mechanical Keyboard,Electronics,North America,Online,4,69.02,276.08,CUST-3245
ORD-102498,2024-01-21,USB-C Hub,Electronics,North America,Online,5,36.03,180.15,CUST-3426
ORD-104274,2024-01-21,Stapler,Office Supplies,Asia Pacific,Retail Partner,2,9.01,18.02,CUST-3628
ORD-105499,2024-01-21,Stapler,Office Supplies,North America,Retail Partner,4,7.93,31.72,CUST-2068
ORD-106563,2024-01-22,Notebook Set,Office Supplies,Asia Pacific,Online,1,8.59,8.59,CUST-3265
ORD-106564,2024-01-22,Water Bottle,Fitness,Latin America,Retail Partner,2,11.37,22.74,CUST-2666
ORD-105001,2024-01-22,Bookshelf,Furniture,Europe,Online,1,91.08,91.08,CUST-3133
ORD-104303,2024-01-22,Sticky Notes Pack,Office Supplies,North America,Online,2,4.39,8.78,CUST-3116
ORD-105466,2024-01-22,Foam Roller,Fitness,North America,Direct Sales,3,17.86,53.58,CUST-2933
